long,lat,group,party,over_under
-119.30265347,28.96163019,AK.1,R,U
-119.34381763,28.97633198,AK.1,R,U
-119.35553944,29.02693749,AK.1,R,U
-119.32602032,29.06114575,AK.1,R,U
-119.30191309,29.05933177,AK.1,R,U
-119.2659468,28.98466881,AK.1,R,U
-119.28295824,28.93907332,AK.1,R,U
-119.21749993,28.85013513,AK.1,R,U
-119.15147644,28.88112476,AK.1,R,U
-119.10347899,28.81440244,AK.1,R,U
-119.00889238,28.81667295,AK.1,R,U
-118.99902949,28.86517112,AK.1,R,U
-119.01236045,28.89695256,AK.1,R,U
-118.99745024,28.91220917,AK.1,R,U
-119.04784682,28.89289188,AK.1,R,U
-119.08995402,28.92566283,AK.1,R,U
-119.13793079,28.92311402,AK.1,R,U
-119.16078517,28.88588881,AK.1,R,U
-119.20195105,28.88316152,AK.1,R,U
-119.25090963,28.96412141,AK.1,R,U
-119.2249722,29.02974478,AK.1,R,U
-119.17582161,29.06026734,AK.1,R,U
-119.22564125,29.09003348,AK.1,R,U
-119.28481529,29.07757916,AK.1,R,U
-119.29038264,29.1025283,AK.1,R,U
-119.29458015,29.07693303,AK.1,R,U
-119.31945843,29.07352472,AK.1,R,U
-119.28975767,29.13451469,AK.1,R,U
-119.29606463,29.14060892,AK.1,R,U
-119.33586902,29.08302321,AK.1,R,U
-119.50472865,29.14121509,AK.1,R,U
-119.5014501,29.23804862,AK.1,R,U
-119.51616653,29.31643385,AK.1,R,U
-119.59528695,29.43869506,AK.1,R,U
-119.66405929,29.52247853,AK.1,R,U
-119.67309499,29.53367898,AK.1,R,U
-119.74589652,29.58103269,AK.1,R,U
-119.78404396,29.65181192,AK.1,R,U
-119.8558168,29.68689097,AK.1,R,U
-119.77733515,29.69398194,AK.1,R,U
-119.78136184,29.71062133,AK.1,R,U
-119.74856282,29.75925111,AK.1,R,U
-119.73279869,29.80682315,AK.1,R,U
-119.72037012,29.87674516,AK.1,R,U
-119.44679891,29.86023969,AK.1,R,U
-119.32125001,29.93040892,AK.1,R,U
-119.24629508,30.03078621,AK.1,R,U
-119.26846199,29.98357934,AK.1,R,U
-119.24016601,30.01652472,AK.1,R,U
-119.2177395,30.08689645,AK.1,R,U
-119.22598702,30.1015,AK.1,R,U
-119.19055017,30.13343679,AK.1,R,U
-119.19932363,30.14864321,AK.1,R,U
-119.18659847,30.16699155,AK.1,R,U
-119.00795133,30.35667873,AK.1,R,U
-118.97780271,30.34085102,AK.1,R,U
-119.00392951,30.33761648,AK.1,R,U
-118.99133368,30.32284045,AK.1,R,U
-119.02360409,30.31445134,AK.1,R,U
-119.04209612,30.30144819,AK.1,R,U
-118.98240066,30.31053687,AK.1,R,U
-118.96596447,30.33371703,AK.1,R,U
-118.87388269,30.33925515,AK.1,R,U
-118.87502135,30.35292857,AK.1,R,U
-118.74487958,30.45312043,AK.1,R,U
-118.71723591,30.4466985,AK.1,R,U
-118.71847722,30.4252928,AK.1,R,U
-118.76032181,30.40194287,AK.1,R,U
-118.7221705,30.40395274,AK.1,R,U
-118.76117646,30.34175414,AK.1,R,U
-118.73283958,30.35777835,AK.1,R,U
-118.72069071,30.28945222,AK.1,R,U
-118.72366812,30.36795657,AK.1,R,U
-118.70714875,30.40761892,AK.1,R,U
-118.69018942,30.39524414,AK.1,R,U
-118.63397809,30.41671411,AK.1,R,U
-118.69599123,30.40600869,AK.1,R,U
-118.71473126,30.46200737,AK.1,R,U
-118.74052019,30.45291576,AK.1,R,U
-118.66792889,30.52371272,AK.1,R,U
-118.59567328,30.55164494,AK.1,R,U
-118.62540263,30.53896918,AK.1,R,U
-118.59759974,30.527941,AK.1,R,U
-118.63955032,30.51470237,AK.1,R,U
-118.61506466,30.47718071,AK.1,R,U
-118.61881565,30.50439299,AK.1,R,U
-118.58086184,30.50827454,AK.1,R,U
-118.58867594,30.52491911,AK.1,R,U
-118.53775468,30.51115009,AK.1,R,U
-118.49040606,30.52128807,AK.1,R,U
-118.51108096,30.53455379,AK.1,R,U
-118.42732365,30.53367489,AK.1,R,U
-118.33696841,30.60535045,AK.1,R,U
-118.26397638,30.70093823,AK.1,R,U
-118.21522727,30.74103847,AK.1,R,U
-118.20304601,30.72760525,AK.1,R,U
-118.23348377,30.71946818,AK.1,R,U
-118.21748284,30.68553853,AK.1,R,U
-118.17323811,30.67613422,AK.1,R,U
-118.16702702,30.66363602,AK.1,R,U
-118.17745254,30.64914724,AK.1,R,U
-118.1538142,30.66730231,AK.1,R,U
-118.11567257,30.65365221,AK.1,R,U
-118.1056768,30.62717157,AK.1,R,U
-118.13561113,30.58184314,AK.1,R,U
-118.1985175,30.5510801,AK.1,R,U
-118.17279444,30.54300815,AK.1,R,U
-118.17773649,30.48767312,AK.1,R,U
-118.16756933,30.49194892,AK.1,R,U
-118.1640622,30.51539997,AK.1,R,U
-118.12196111,30.51954776,AK.1,R,U
-118.11162586,30.55670691,AK.1,R,U
-118.0891929,30.58280013,AK.1,R,U
-118.06391795,30.57716499,AK.1,R,U
-118.07265606,30.61443607,AK.1,R,U
-118.04725767,30.61388728,AK.1,R,U
-118.04559855,30.6388346,AK.1,R,U
-118.03813639,30.63203019,AK.1,R,U
-118.04950338,30.58765782,AK.1,R,U
-118.03937358,30.58859427,AK.1,R,U
-118.03343517,30.6264669,AK.1,R,U
-117.98449941,30.58691665,AK.1,R,U
-117.99487252,30.54927365,AK.1,R,U
-118.01648108,30.53396549,AK.1,R,U
-117.93799709,30.49507812,AK.1,R,U
-117.89693374,30.53912436,AK.1,R,U
-117.80308305,30.55601207,AK.1,R,U
-117.74890058,30.54120862,AK.1,R,U
-117.73606627,30.51223657,AK.1,R,U
-117.72967683,30.53041668,AK.1,R,U
-117.73961667,30.53965018,AK.1,R,U
-117.69892081,30.5363082,AK.1,R,U
-117.67058693,30.51460834,AK.1,R,U
-117.71250419,30.46800747,AK.1,R,U
-117.71173486000001,30.44876982,AK.1,R,U
-117.65570796,30.42637855,AK.1,R,U
-117.73124877,30.41302713,AK.1,R,U
-117.61085262,30.42029283,AK.1,R,U
-117.62871954,30.40146624,AK.1,R,U
-117.61536464,30.39667874,AK.1,R,U
-117.64366117,30.37410684,AK.1,R,U
-117.54231488,30.35080966,AK.1,R,U
-117.53572096,30.35285256,AK.1,R,U
-117.53835762,30.37548316,AK.1,R,U
-117.48030274,30.40453774,AK.1,R,U
-117.4241085,30.4016421,AK.1,R,U
-117.42951045,30.37184493,AK.1,R,U
-117.35799855,30.41700953,AK.1,R,U
-117.30405818,30.42377773,AK.1,R,U
-117.18204812,30.38573126,AK.1,R,U
-117.16765358,30.35349163,AK.1,R,U
-117.12881566,30.37523497,AK.1,R,U
-117.07811406,30.36105072,AK.1,R,U
-117.05385081,30.32470575,AK.1,R,U
-116.7954312,30.33806501,AK.1,R,U
-116.76083969,30.30184865,AK.1,R,U
-116.66866809,30.27683449,AK.1,R,U
-116.55141054,30.3296309,AK.1,R,U
-116.5426336,30.30022207,AK.1,R,U
-116.5381927,30.32461229,AK.1,R,U
-116.54496958,30.33620541,AK.1,R,U
-116.50502829,30.3499836,AK.1,R,U
-116.44561738,30.36233314,AK.1,R,U
-116.43567629,30.33819216,AK.1,R,U
-116.43643111,30.36736261,AK.1,R,U
-116.335704,30.33952467,AK.1,R,U
-116.28372672,30.28841348,AK.1,R,U
-116.2043156,30.27391959,AK.1,R,U
-116.14931582,30.23199336,AK.1,R,U
-116.13072806,30.23276872,AK.1,R,U
-116.12694493,30.24807011,AK.1,R,U
-116.13994853,30.25287186,AK.1,R,U
-116.0944204,30.24242444,AK.1,R,U
-116.09441657,30.24239556,AK.1,R,U
-116.03234851,29.78687871,AK.1,R,U
-115.89062569,28.8152637,AK.1,R,U
-115.65092977,27.33261018,AK.1,R,U
-115.54673381,26.73582721,AK.1,R,U
